Category: All categories

Country,Michael Jackson: (4/14/12 - 4/14/17)
Mozambique,100
Angola,84
Tanzania,45
Dominican Republic,31
Ghana,31
Peru,29
El Salvador,28
Mexico,27
Paraguay,27
Costa Rica,27
Guatemala,27
Nigeria,27
Tunisia,25
Chile,25
Ecuador,25
United States,24
Brazil,24
South Africa,24
Argentina,23
Bolivia,22
Panama,22
Colombia,21
Puerto Rico,21
United Kingdom,20
Kenya,20
Sri Lanka,20
Uruguay,19
Venezuela,19
Norway,19
Denmark,19
France,19
Australia,18
New Zealand,18
Spain,18
Canada,17
Italy,17
Sweden,17
Netherlands,17
Belgium,16
Ireland,16
Romania,15
Philippines,14
Bangladesh,14
Switzerland,14
Hungary,14
Algeria,14
Portugal,14
Pakistan,14
Germany,13
Morocco,13
India,12
United Arab Emirates,12
Austria,12
Slovakia,12
Poland,11
Czechia,11
Greece,11
Singapore,11
Finland,10
Indonesia,10
Bulgaria,10
Malaysia,9
Croatia,9
Serbia,8
Hong Kong,8
Turkey,7
Vietnam,7
Egypt,6
Israel,6
Iran,5
Saudi Arabia,4
South Korea,4
Taiwan,3
Ukraine,3
Russia,2
Thailand,2
Japan,1
