Category: All categories

Country,Cameron Diaz: (4/14/12 - 4/14/17)
Honduras,100
Lebanon,92
Puerto Rico,91
Australia,90
Guatemala,87
Costa Rica,86
Hungary,86
Ireland,85
Georgia,84
New Zealand,79
Paraguay,79
El Salvador,79
Canada,77
United Kingdom,76
Uruguay,76
Austria,72
Sweden,71
United States,70
Switzerland,68
Mexico,68
Norway,67
Croatia,67
Panama,67
Slovenia,65
Argentina,65
Chile,65
Dominican Republic,64
Bolivia,64
Denmark,63
South Africa,63
Colombia,62
Slovakia,61
Italy,60
Ecuador,59
Belgium,58
Czechia,58
France,56
Germany,55
Peru,53
Bosnia & Herzegovina,52
Philippines,51
Poland,50
Algeria,49
Tunisia,49
United Arab Emirates,48
Spain,48
Netherlands,47
Venezuela,47
Greece,46
Romania,46
Lithuania,46
Serbia,42
Egypt,42
Pakistan,42
Portugal,41
Jordan,41
Bangladesh,40
Finland,40
Singapore,39
India,38
Morocco,37
Malaysia,36
Turkey,33
Bulgaria,32
Iraq,30
Brazil,28
Indonesia,24
Israel,24
Iran,18
Hong Kong,18
Saudi Arabia,18
Thailand,6
Vietnam,5
Russia,3
Japan,2
