Category: All categories

Country,Julia Roberts: (4/14/12 - 4/14/17)
Georgia,100
Lebanon,96
Hungary,73
Ireland,73
Canada,70
Italy,68
United States,67
Uruguay,66
Sweden,66
France,63
Denmark,62
Spain,61
United Kingdom,58
Australia,57
Costa Rica,56
Norway,56
Switzerland,56
Croatia,55
Puerto Rico,54
Austria,52
Argentina,52
Slovakia,50
Czechia,49
Slovenia,49
South Africa,47
New Zealand,47
Belgium,47
Bosnia & Herzegovina,46
Serbia,46
Guatemala,45
Chile,44
Portugal,44
United Arab Emirates,43
Mexico,43
Poland,42
Romania,41
Tunisia,41
Germany,41
Philippines,39
Greece,38
Netherlands,37
Dominican Republic,34
Finland,33
Singapore,33
Lithuania,29
Bulgaria,28
Ecuador,27
Algeria,27
Morocco,27
Brazil,26
Colombia,26
Bolivia,24
Peru,24
Pakistan,24
Venezuela,23
Turkey,22
Egypt,21
India,21
Nigeria,20
Israel,20
Malaysia,20
Hong Kong,19
Saudi Arabia,12
Indonesia,10
Iran,10
Thailand,5
Vietnam,5
Russia,2
Japan,1
