Category: All categories

Country,Tom Cruise: (4/14/12 - 4/14/17)
Canada,100
United States,96
Ireland,94
Pakistan,93
United Kingdom,85
Australia,85
Sweden,81
New Zealand,78
Philippines,72
Puerto Rico,72
Norway,71
Denmark,71
Singapore,68
Hungary,68
Uruguay,68
Bangladesh,66
United Arab Emirates,65
Chile,65
Italy,61
Portugal,58
Costa Rica,58
India,57
Austria,57
Spain,56
Dominican Republic,55
Argentina,54
South Africa,52
France,52
Tunisia,51
Croatia,51
Switzerland,50
Mexico,50
Slovenia,50
Morocco,49
Guatemala,47
Belgium,47
Malaysia,47
Finland,46
Romania,45
Colombia,45
Bolivia,44
Czechia,43
Netherlands,43
Ecuador,42
Turkey,42
Germany,41
Algeria,40
Brazil,39
Serbia,39
Hong Kong,38
Peru,37
Greece,37
Slovakia,36
Poland,34
Venezuela,33
Indonesia,32
Bulgaria,28
Egypt,27
Israel,21
Vietnam,19
Saudi Arabia,19
South Korea,17
Iran,15
Thailand,12
Taiwan,11
Japan,3
Russia,3
