Category: All categories

Country,Rihanna: (4/14/12 - 4/14/17)
Haiti,100
Congo - Kinshasa,99
Cameroon,74
Mozambique,70
Angola,69
Zambia,62
Senegal,51
Jamaica,50
Côte d’Ivoire,45
Trinidad & Tobago,39
South Africa,39
Uganda,37
Tanzania,37
Kenya,34
Nigeria,32
Ghana,30
Réunion,24
Dominican Republic,21
Puerto Rico,20
Panama,18
Honduras,18
Armenia,18
Azerbaijan,17
Lebanon,15
France,15
Turkey,14
United Kingdom,12
United States,12
Portugal,12
Ireland,11
Guatemala,11
Costa Rica,11
Algeria,11
Canada,11
Chile,11
Brazil,10
Tunisia,10
Belgium,10
New Zealand,10
Serbia,10
Italy,9
Bulgaria,9
Mexico,9
Poland,9
Switzerland,9
Croatia,9
Indonesia,9
Bosnia & Herzegovina,9
Norway,9
Romania,9
Morocco,9
Venezuela,9
Colombia,9
Netherlands,9
Germany,8
Philippines,8
Australia,8
Spain,8
Slovakia,8
Sweden,8
Denmark,8
Hungary,8
United Arab Emirates,7
Greece,7
Kazakhstan,7
Bolivia,7
Argentina,7
Peru,7
Ecuador,7
Austria,6
Lithuania,6
Malaysia,6
Israel,6
Singapore,6
Iran,5
Czechia,5
Finland,5
Egypt,4
Pakistan,3
Ukraine,3
Saudi Arabia,3
India,3
Russia,3
Thailand,2
Vietnam,1
Japan,0
