Category: All categories

Country,Johnny Depp: (4/14/12 - 4/14/17)
Italy,100
Australia,82
Puerto Rico,82
Sweden,77
Georgia,75
Canada,74
United Kingdom,74
Norway,73
France,73
United States,73
New Zealand,69
Ireland,67
Hungary,67
Costa Rica,65
Portugal,65
Denmark,64
Austria,64
Switzerland,63
Mexico,63
Greece,62
Chile,62
Philippines,58
Uruguay,57
Croatia,55
Serbia,55
Belgium,54
Germany,54
Finland,54
Bosnia & Herzegovina,54
Slovenia,53
Argentina,52
Singapore,52
Romania,52
Spain,49
Czechia,47
Brazil,47
Netherlands,45
Tunisia,45
Ecuador,44
Colombia,44
Dominican Republic,43
Turkey,42
Lithuania,40
Slovakia,39
Pakistan,39
Poland,39
Bulgaria,39
Malaysia,39
South Africa,38
Hong Kong,38
United Arab Emirates,38
Morocco,34
Peru,32
Venezuela,30
Bolivia,29
Algeria,29
Egypt,24
India,21
Israel,20
Iran,18
Saudi Arabia,16
Indonesia,15
Thailand,9
Vietnam,6
Russia,3
Japan,2
