Category: All categories

Country,Arnold Schwarzenegger: (4/14/12 - 4/14/17)
Macedonia (FYROM),100
Australia,88
Austria,83
Hungary,83
Canada,82
Denmark,79
Sweden,79
Norway,78
United Kingdom,77
Paraguay,75
Puerto Rico,74
United States,74
Ireland,70
New Zealand,68
Finland,68
Bulgaria,68
Czechia,67
Slovakia,65
Dominican Republic,61
South Africa,59
Croatia,58
Romania,52
Bosnia & Herzegovina,52
Pakistan,51
Serbia,51
Azerbaijan,50
Sri Lanka,50
Germany,49
Slovenia,49
Costa Rica,49
Portugal,47
Guatemala,47
Switzerland,47
Uruguay,47
Netherlands,46
Singapore,46
Colombia,45
United Arab Emirates,45
Argentina,44
Ecuador,44
Mexico,43
Philippines,41
Brazil,41
Belgium,41
Peru,41
Spain,40
Poland,37
Kenya,37
Chile,37
Algeria,36
India,36
Lithuania,36
Venezuela,36
Bolivia,33
Tunisia,33
France,33
Malaysia,33
Italy,32
Bangladesh,31
Greece,30
Morocco,29
Nigeria,27
Turkey,26
Israel,21
Hong Kong,20
Indonesia,13
Egypt,13
Saudi Arabia,12
Iran,11
Vietnam,9
Thailand,7
Russia,3
Japan,2
