Category: All categories

Country,Paris Hilton: (4/14/12 - 4/14/17)
Honduras,100
Philippines,91
El Salvador,81
Panama,76
Lebanon,76
Guatemala,74
Costa Rica,70
Australia,68
Mexico,68
Canada,68
United States,65
Indonesia,61
South Africa,61
Denmark,60
Turkey,60
Singapore,60
United Arab Emirates,59
Norway,58
Colombia,58
Puerto Rico,58
New Zealand,57
Malaysia,57
Ecuador,56
Ireland,56
United Kingdom,56
Switzerland,52
Sweden,52
Austria,51
Belgium,49
Venezuela,49
Chile,49
Slovenia,46
France,46
Finland,45
Slovakia,42
Bosnia & Herzegovina,42
Bolivia,42
Portugal,42
Czechia,41
Italy,41
Germany,41
Dominican Republic,41
Serbia,41
Netherlands,40
Hungary,39
Croatia,38
Algeria,38
Spain,37
Greece,36
Peru,36
Uruguay,36
Poland,36
Tunisia,36
Bangladesh,35
Lithuania,32
Jordan,31
Pakistan,30
Hong Kong,29
Morocco,27
Bulgaria,27
Argentina,27
Nigeria,27
India,25
Romania,25
Egypt,24
Brazil,21
Israel,20
Saudi Arabia,19
South Korea,18
Iran,15
Vietnam,11
Thailand,9
Taiwan,7
Russia,4
Japan,2
