Category: All categories

Country,Angelina Jolie: (4/14/12 - 4/14/17)
Lebanon,100
Georgia,78
Armenia,77
Macedonia (FYROM),72
Pakistan,68
Paraguay,62
Philippines,57
Tunisia,57
Uruguay,55
Cyprus,55
Costa Rica,49
Panama,46
Dominican Republic,46
Puerto Rico,46
Azerbaijan,45
Portugal,45
Canada,44
United Arab Emirates,43
Argentina,43
Bosnia & Herzegovina,41
Malaysia,41
Italy,39
Algeria,39
Croatia,39
Chile,38
Singapore,38
South Africa,38
Australia,38
Guatemala,37
Turkey,37
Colombia,37
Ireland,36
Switzerland,36
Hungary,36
Spain,36
Slovenia,35
Bolivia,35
United States,35
Bangladesh,35
Romania,34
United Kingdom,34
Greece,34
Ecuador,34
Austria,33
Sri Lanka,33
Kuwait,33
Mexico,33
New Zealand,32
Slovakia,32
Sweden,32
Indonesia,32
Bulgaria,31
Nigeria,31
Norway,31
Brazil,31
Jordan,31
India,31
Iraq,30
Venezuela,30
Morocco,30
Lithuania,29
Serbia,29
France,29
Poland,28
Kenya,28
Czechia,28
Belgium,26
Germany,26
Peru,25
Denmark,25
Netherlands,24
Egypt,23
Iran,22
Finland,18
Hong Kong,18
Israel,15
Saudi Arabia,15
Vietnam,10
South Korea,7
Thailand,5
Taiwan,4
Russia,2
Japan,1
