Category: All categories

Country,Britney Spears: (4/14/12 - 4/14/17)
El Salvador,100
Guatemala,92
United States,84
Mexico,84
Canada,82
Panama,81
Paraguay,81
Philippines,79
Puerto Rico,75
Ireland,71
Costa Rica,70
Lebanon,70
Uruguay,66
Chile,66
United Kingdom,65
Venezuela,65
South Africa,65
Ecuador,65
Norway,62
Brazil,60
New Zealand,59
Argentina,58
Australia,57
Sweden,56
Denmark,54
Lithuania,53
France,53
Hungary,53
Dominican Republic,52
Indonesia,52
Bolivia,52
Azerbaijan,52
Peru,51
Singapore,51
Portugal,51
Malaysia,51
Belgium,48
Italy,48
Tunisia,48
Turkey,46
Serbia,45
Poland,44
Finland,43
Colombia,42
Switzerland,42
Croatia,41
Germany,40
Algeria,40
Austria,39
Bulgaria,39
Spain,38
United Arab Emirates,37
Netherlands,36
Slovakia,35
Greece,34
Israel,33
Pakistan,33
Kazakhstan,32
Czechia,28
Romania,27
Iran,26
India,25
Hong Kong,25
Morocco,23
Vietnam,21
Egypt,17
Saudi Arabia,16
Ukraine,15
South Korea,15
Thailand,13
Russia,12
Taiwan,9
Japan,3
