Category: All categories

Country,George Bush: (4/14/12 - 4/14/17)
United States,100
Canada,41
Kenya,32
Ireland,30
Puerto Rico,30
New Zealand,30
Australia,28
Norway,27
Nigeria,27
Denmark,26
United Kingdom,25
Sweden,23
Singapore,23
United Arab Emirates,21
South Africa,18
Finland,14
Switzerland,14
Austria,13
Germany,12
Netherlands,11
Hong Kong,11
Philippines,11
Czechia,10
Belgium,9
Mexico,9
Hungary,9
Malaysia,9
Pakistan,9
Portugal,8
Romania,8
Colombia,8
India,8
Greece,7
Venezuela,7
Israel,7
Chile,7
Spain,7
Peru,7
France,7
Argentina,6
South Korea,6
Poland,6
Saudi Arabia,6
Italy,5
Indonesia,5
Brazil,4
Turkey,4
Vietnam,2
Thailand,2
Russia,1
Japan,1
