Category: All categories

Country,Daniel Radcliffe: (4/14/12 - 4/14/17)
Philippines,100
United Kingdom,81
Ireland,73
Paraguay,69
Australia,64
Mexico,60
Uruguay,59
New Zealand,59
Canada,57
Puerto Rico,55
Norway,53
Sri Lanka,53
United States,52
Pakistan,51
Singapore,50
Sweden,50
Costa Rica,49
Czechia,48
Denmark,48
Slovakia,44
Italy,43
Chile,42
Hungary,42
Argentina,42
France,42
Bangladesh,42
Portugal,40
Ecuador,39
Slovenia,39
Venezuela,39
Brazil,38
Belgium,38
Poland,37
Malaysia,37
Finland,36
United Arab Emirates,36
Austria,35
Netherlands,33
Colombia,33
Dominican Republic,32
Switzerland,32
Spain,32
Peru,32
India,32
South Africa,31
Lithuania,31
Germany,30
Bolivia,29
Hong Kong,29
Indonesia,28
Croatia,28
Greece,27
Serbia,26
Romania,22
Bulgaria,22
Turkey,22
Morocco,20
Egypt,19
Israel,18
Algeria,16
Iran,15
Saudi Arabia,12
Thailand,10
Vietnam,10
Taiwan,6
Russia,3
Japan,1
