Category: All categories

Country,Barack Obama: (4/14/12 - 4/14/17)
Congo - Kinshasa,100
Cameroon,89
Angola,65
Kenya,49
Uganda,47
Côte d’Ivoire,46
Jamaica,42
Tanzania,40
United States,30
Nepal,28
Nigeria,27
Ghana,27
Puerto Rico,24
Dominican Republic,23
South Africa,23
Norway,21
Ireland,21
Panama,20
Canada,19
Denmark,18
Sweden,17
Bangladesh,17
El Salvador,17
New Zealand,17
Australia,16
Costa Rica,15
United Kingdom,15
Sri Lanka,15
France,14
Switzerland,13
Austria,12
Belgium,12
Philippines,12
United Arab Emirates,12
Singapore,12
Guatemala,11
Portugal,11
India,11
Germany,11
Ecuador,10
Mexico,10
Malaysia,9
Colombia,9
Finland,9
Netherlands,8
Hungary,8
Bolivia,8
Brazil,7
Peru,7
Venezuela,7
Czechia,7
Pakistan,7
Croatia,7
Chile,7
Morocco,6
Romania,6
Poland,6
Algeria,6
Italy,6
Slovakia,6
Hong Kong,5
Argentina,5
Israel,5
Indonesia,5
Serbia,5
Spain,4
Greece,4
Vietnam,4
South Korea,3
Iran,3
Turkey,3
Saudi Arabia,3
Thailand,1
Russia,1
Japan,0
