Category: All categories

Country,Robin Williams: (4/14/12 - 4/14/17)
United States,100
Canada,94
Australia,75
Puerto Rico,66
Ireland,63
New Zealand,60
United Kingdom,58
Panama,57
Italy,55
Uruguay,54
Costa Rica,51
South Africa,49
Mexico,49
Guatemala,47
Venezuela,45
Dominican Republic,42
Bolivia,42
Colombia,42
Argentina,42
Chile,40
Philippines,39
Austria,38
Sweden,38
Denmark,38
Ecuador,37
Hungary,37
Spain,37
Singapore,35
Portugal,35
Norway,35
Switzerland,33
Germany,33
Peru,32
France,32
Belgium,30
Croatia,30
Finland,29
Greece,28
Romania,27
Netherlands,26
United Arab Emirates,24
Poland,23
Serbia,22
Malaysia,20
Slovakia,20
Bulgaria,20
Czechia,19
Hong Kong,19
Brazil,18
Israel,15
Turkey,15
Morocco,15
Pakistan,11
Egypt,10
Indonesia,10
India,9
Saudi Arabia,7
Thailand,5
Russia,2
Japan,1
