Category: All categories

Country,Matt Damon: (4/14/12 - 4/14/17)
Canada,100
Australia,93
United States,92
Ireland,92
New Zealand,79
United Kingdom,75
Norway,72
Sweden,68
Hungary,64
Puerto Rico,62
Denmark,61
Argentina,58
Singapore,58
France,54
Spain,54
Switzerland,53
Uruguay,52
Costa Rica,49
Philippines,48
Italy,48
Finland,47
Portugal,46
Chile,46
Austria,45
Serbia,44
Belgium,43
United Arab Emirates,43
Slovenia,42
South Africa,42
Croatia,41
Netherlands,40
Dominican Republic,40
Germany,39
Hong Kong,37
Czechia,37
Greece,36
Mexico,34
Slovakia,32
Poland,29
Malaysia,28
Pakistan,26
Romania,26
Peru,26
Bulgaria,25
Morocco,25
Turkey,24
Colombia,23
Venezuela,23
Ecuador,22
Israel,22
Brazil,21
Algeria,21
India,18
South Korea,18
Indonesia,15
Egypt,14
Saudi Arabia,11
Iran,10
Thailand,9
Taiwan,9
Vietnam,5
Russia,3
Japan,2
