Category: All categories

Country,Jim Carrey: (4/14/12 - 4/14/17)
Macedonia (FYROM),100
Georgia,95
Armenia,78
Puerto Rico,74
Canada,73
Cyprus,68
United States,65
Argentina,64
Hungary,64
Uruguay,61
Chile,61
Paraguay,59
Ireland,59
Sweden,59
Moldova,58
Bosnia & Herzegovina,58
Lithuania,56
El Salvador,56
Norway,54
Costa Rica,53
Dominican Republic,53
Czechia,52
Australia,52
Denmark,51
Romania,51
United Kingdom,49
Colombia,44
Latvia,44
Mexico,43
Croatia,43
New Zealand,41
Italy,41
France,41
Greece,40
Slovenia,39
Finland,39
Serbia,39
Slovakia,38
Peru,38
Ecuador,38
Turkey,37
Belgium,36
Azerbaijan,35
Guatemala,35
Portugal,34
Spain,32
Venezuela,32
South Africa,31
Philippines,31
Bolivia,31
Poland,30
Switzerland,29
United Arab Emirates,29
Brazil,28
Bulgaria,28
Singapore,27
Austria,26
Netherlands,26
Morocco,24
Algeria,24
Pakistan,22
Germany,21
India,19
Israel,18
Malaysia,18
Egypt,16
Hong Kong,15
Saudi Arabia,12
Iran,11
Indonesia,8
Ukraine,6
Thailand,5
Vietnam,5
Russia,4
Japan,1
