Category: All categories

Country,Sandra Bullock: (4/14/12 - 4/14/17)
Hungary,100
Puerto Rico,88
Costa Rica,86
Honduras,84
United States,79
Canada,76
El Salvador,74
Paraguay,71
Ireland,70
Panama,70
Guatemala,66
Mexico,64
Australia,63
New Zealand,61
Uruguay,61
Lebanon,59
United Kingdom,58
South Africa,57
Dominican Republic,57
Sweden,57
Austria,55
Croatia,55
Slovenia,53
Switzerland,52
Denmark,52
Chile,51
Slovakia,50
Ecuador,50
Norway,50
Bosnia & Herzegovina,50
Serbia,48
Germany,47
Argentina,46
Spain,43
Romania,42
Venezuela,41
Belgium,41
United Arab Emirates,41
Italy,40
Colombia,40
Philippines,40
Czechia,40
Peru,40
Portugal,38
Bolivia,38
Greece,37
Netherlands,37
Poland,36
Tunisia,36
Singapore,35
Lithuania,34
Brazil,32
France,31
Finland,29
Bulgaria,29
Jordan,29
Malaysia,25
Egypt,24
Morocco,21
Algeria,21
Pakistan,19
Turkey,18
Saudi Arabia,17
Hong Kong,17
India,16
Israel,15
Indonesia,15
Iran,11
Thailand,5
Vietnam,4
Russia,3
Japan,1
