Category: All categories

Country,Hillary Clinton: (4/14/12 - 4/14/17)
United States,100
Canada,48
Kenya,41
Ireland,31
New Zealand,31
Puerto Rico,30
Singapore,28
Nigeria,28
Norway,25
Australia,24
Denmark,23
Sweden,23
Dominican Republic,20
United Kingdom,19
South Africa,19
United Arab Emirates,17
Switzerland,16
Hong Kong,16
Mexico,15
Netherlands,14
Finland,13
Austria,12
Belgium,12
Germany,11
France,11
Pakistan,10
Philippines,10
Malaysia,9
Israel,9
Italy,9
Hungary,9
Portugal,8
Czechia,8
India,8
Romania,8
Chile,7
South Korea,7
Spain,7
Colombia,7
Venezuela,7
Peru,6
Vietnam,6
Argentina,6
Poland,5
Iran,5
Indonesia,5
Saudi Arabia,4
Brazil,4
Turkey,3
Thailand,2
Russia,1
Japan,1
