Category: All categories

Country,Donald Trump: (4/14/12 - 4/14/17)
United States,100
Canada,84
Kenya,58
Ireland,54
New Zealand,52
Australia,48
Puerto Rico,47
Nigeria,46
Singapore,45
United Kingdom,42
South Africa,42
Norway,40
Dominican Republic,40
Mexico,37
Sweden,34
Denmark,33
Guatemala,29
United Arab Emirates,29
Costa Rica,29
Switzerland,22
Hong Kong,21
Colombia,20
Netherlands,20
Venezuela,19
Ecuador,19
Austria,19
Spain,19
Pakistan,18
Finland,18
Germany,18
Malaysia,18
Philippines,17
Chile,17
Belgium,16
France,16
India,15
Portugal,15
Argentina,14
Peru,14
Czechia,14
Romania,13
Italy,13
Hungary,12
Indonesia,12
Israel,10
Poland,9
Vietnam,8
Brazil,6
Saudi Arabia,6
Turkey,5
Thailand,3
Russia,2
Japan,1
