Category: All categories

Country,Brad Pitt: (4/14/12 - 4/14/17)
Macedonia (FYROM),100
Paraguay,95
Uruguay,89
Canada,83
Italy,83
Spain,80
Argentina,78
Georgia,75
Australia,73
Chile,73
Ireland,72
Philippines,72
Hungary,71
Lebanon,71
Panama,70
United States,69
Croatia,69
France,67
Costa Rica,64
Sweden,63
Puerto Rico,62
Dominican Republic,62
Portugal,61
Norway,60
Slovenia,60
United Kingdom,60
Mexico,60
New Zealand,60
Singapore,59
Switzerland,59
Bosnia & Herzegovina,59
Austria,55
Tunisia,55
Denmark,54
Serbia,53
Turkey,53
Guatemala,52
Romania,52
South Africa,52
Greece,50
Ecuador,50
Colombia,50
Belgium,48
United Arab Emirates,47
Peru,46
Czechia,45
Germany,44
Venezuela,43
Bolivia,42
Slovakia,41
Bulgaria,40
Netherlands,40
Morocco,39
Algeria,39
Brazil,37
Malaysia,37
Poland,37
Pakistan,35
Hong Kong,33
Finland,30
India,28
Nigeria,24
Israel,21
Indonesia,21
Iran,21
Egypt,17
South Korea,14
Vietnam,13
Saudi Arabia,12
Thailand,8
Taiwan,7
Russia,3
Japan,2
