Category: All categories

Country,Michelle Obama: (4/14/12 - 4/14/17)
Cameroon,100
Kenya,96
Jamaica,87
Uganda,79
Zimbabwe,74
Trinidad & Tobago,64
United States,54
Tanzania,53
Ghana,50
Nigeria,35
Puerto Rico,29
South Africa,29
Canada,27
Ireland,22
Singapore,19
Dominican Republic,18
New Zealand,17
Australia,15
United Kingdom,14
Switzerland,14
Norway,13
Costa Rica,13
Denmark,13
Mexico,12
Sweden,11
United Arab Emirates,11
Belgium,10
Netherlands,10
Austria,10
France,9
Hong Kong,9
Italy,9
Philippines,9
Portugal,8
Germany,8
Croatia,7
Spain,7
Chile,7
Colombia,7
Ecuador,7
Malaysia,6
Finland,6
Venezuela,6
Argentina,6
Israel,6
Romania,6
Peru,5
Greece,5
Pakistan,5
India,4
Brazil,4
Hungary,4
Poland,4
South Korea,4
Indonesia,3
Turkey,2
Vietnam,2
Thailand,1
Japan,1
