Category: All categories

Country,Bill Gates: (4/14/12 - 4/14/17)
Nepal,100
Uganda,90
Ghana,87
Pakistan,64
Kenya,63
South Africa,54
Sri Lanka,53
Bangladesh,51
Tanzania,48
India,48
Nigeria,47
United States,45
Dominican Republic,43
Philippines,41
Bolivia,40
Panama,38
Ecuador,38
Puerto Rico,38
Canada,37
Guatemala,36
Lebanon,36
Singapore,34
Colombia,33
United Arab Emirates,32
New Zealand,32
Sweden,31
Peru,31
Australia,31
Norway,31
Tunisia,28
Malaysia,27
Indonesia,27
Denmark,27
Mexico,27
United Kingdom,27
Costa Rica,26
Ireland,24
Uruguay,21
Venezuela,21
Vietnam,20
Switzerland,20
Hong Kong,19
Romania,19
Czechia,18
Croatia,18
Portugal,18
Netherlands,18
Austria,18
Brazil,18
Hungary,18
Argentina,17
Chile,16
Germany,16
Slovakia,16
Belgium,15
Finland,15
Morocco,15
France,15
Spain,15
Turkey,15
Italy,14
Poland,13
Serbia,12
Algeria,12
Greece,12
Bulgaria,11
South Korea,9
Israel,9
Saudi Arabia,8
Egypt,8
Iran,7
Taiwan,4
Thailand,4
Russia,2
Japan,1
