Category: All categories

Country,Mike Tyson: (4/14/12 - 4/14/17)
Zimbabwe,100
Tanzania,58
Ghana,39
Bulgaria,33
United Kingdom,32
United States,30
Ireland,30
Canada,29
Australia,27
New Zealand,27
Kenya,26
South Africa,23
Paraguay,23
Croatia,21
Norway,20
Nigeria,20
Azerbaijan,20
Bosnia & Herzegovina,19
Singapore,19
Dominican Republic,19
Sweden,17
Denmark,16
Finland,16
Poland,15
Serbia,15
Uruguay,15
Hungary,15
Italy,14
Indonesia,14
United Arab Emirates,14
Slovenia,14
Switzerland,14
Slovakia,14
Romania,14
Philippines,14
Tunisia,14
Turkey,13
Austria,13
Malaysia,13
Germany,13
Netherlands,13
Lithuania,12
France,12
Greece,12
Belgium,11
Portugal,11
Czechia,11
Argentina,11
Spain,11
Pakistan,11
Chile,10
Bolivia,10
Ecuador,9
Colombia,9
Peru,9
Algeria,9
Morocco,9
Mexico,8
Hong Kong,8
India,8
Venezuela,8
Brazil,7
Kazakhstan,6
Vietnam,6
Israel,6
Saudi Arabia,4
South Korea,3
Taiwan,2
Thailand,2
Ukraine,2
Russia,2
Japan,1
