Category: All categories

Country,Laura Pausini: (4/14/12 - 4/14/17)
Italy,100
Nicaragua,76
Dominican Republic,71
El Salvador,68
Panama,65
Peru,61
Honduras,60
Guatemala,60
Paraguay,60
Ecuador,57
Costa Rica,42
Venezuela,37
Chile,37
Bolivia,35
Mexico,34
Puerto Rico,30
Colombia,30
Argentina,26
Spain,26
Uruguay,25
Tunisia,16
Switzerland,12
Romania,10
Brazil,8
Belgium,8
Croatia,5
France,5
Portugal,4
Bulgaria,4
Serbia,4
Netherlands,3
Germany,2
Austria,2
Greece,2
United States,2
Poland,2
Egypt,2
Canada,1
United Kingdom,1
Australia,1
India,1
Turkey,1
Indonesia,0
Russia,0
