Category: All categories

Country,Justin Bieber: (4/14/12 - 4/14/17)
Paraguay,100
Panama,84
Honduras,78
Ecuador,73
Guatemala,73
Norway,73
Dominican Republic,72
Uruguay,70
Argentina,70
Mexico,69
Chile,66
South Africa,63
Indonesia,62
Philippines,60
Puerto Rico,59
Canada,58
Venezuela,56
El Salvador,56
Brazil,56
Lebanon,55
United States,52
Costa Rica,49
Bolivia,49
Denmark,47
Portugal,46
Sweden,45
Peru,43
New Zealand,43
Nigeria,43
Australia,42
Colombia,41
United Kingdom,40
Malaysia,40
Kenya,39
Pakistan,37
Ireland,36
Algeria,35
Sri Lanka,35
Netherlands,34
Tunisia,34
Croatia,32
Morocco,32
Spain,31
Singapore,31
Italy,31
Belgium,31
Turkey,31
United Arab Emirates,30
Slovakia,28
Austria,28
India,27
Poland,27
Bulgaria,27
Switzerland,27
Czechia,26
Romania,26
Germany,25
Bangladesh,25
France,24
Hungary,24
Greece,24
Finland,23
Serbia,21
Hong Kong,15
Israel,15
Vietnam,14
Iran,13
Egypt,12
Thailand,12
Saudi Arabia,11
Taiwan,6
Russia,3
Japan,2
