Category: All categories

Country,Bill Clinton: (4/14/12 - 4/14/17)
United States,100
Canada,50
Ireland,46
Kenya,45
Norway,34
Nigeria,34
Denmark,33
Singapore,32
New Zealand,29
Australia,27
Sweden,27
United Kingdom,24
South Africa,22
Dominican Republic,21
United Arab Emirates,19
Switzerland,19
Netherlands,17
Austria,16
Hong Kong,16
Finland,15
Belgium,13
Croatia,13
Philippines,12
Germany,12
Hungary,12
Portugal,12
France,12
Czechia,11
Israel,11
Pakistan,11
Romania,11
India,10
Vietnam,10
Mexico,10
Malaysia,9
Venezuela,9
Italy,9
Chile,9
Colombia,9
Poland,8
South Korea,8
Peru,8
Spain,7
Greece,7
Argentina,7
Indonesia,6
Brazil,6
Turkey,5
Saudi Arabia,5
Thailand,3
Japan,1
