Category: All categories

Country,George Clooney: (4/14/12 - 4/14/17)
Lebanon,100
Canada,85
Ireland,85
Australia,80
United States,76
United Kingdom,71
New Zealand,63
Switzerland,59
Austria,57
Italy,56
Norway,52
Hungary,52
United Arab Emirates,50
Denmark,49
Spain,48
Germany,48
Sweden,48
Puerto Rico,48
Netherlands,47
Singapore,47
Portugal,46
Uruguay,45
Croatia,44
South Africa,43
Greece,42
Costa Rica,41
Tunisia,41
Belgium,40
France,39
Argentina,38
Slovenia,37
Serbia,33
Czechia,32
Finland,31
Romania,29
Dominican Republic,29
Jordan,29
Hong Kong,29
Algeria,27
Mexico,27
Chile,27
Philippines,27
Slovakia,27
Morocco,26
Colombia,24
Ecuador,22
Bulgaria,21
Venezuela,20
Pakistan,20
Poland,20
Malaysia,19
Turkey,19
Brazil,18
Peru,17
Israel,17
Iran,17
India,16
Egypt,15
Saudi Arabia,13
South Korea,10
Indonesia,9
Taiwan,5
Thailand,4
Vietnam,3
Russia,2
Japan,2
